onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,numeral,cadence,phraseend,chord_type
0.0,1.0,0.0,1.0,0,48,58,5,n10-1,1,1,1.0,2/4,Bb.I{,Bb,I,I,I,,{,M
0.0,1.0,0.0,1.0,0,48,62,5,n11-1,1,1,,,,,,,,,,
0.0,0.75,0.0,0.75,0,36,70,1,n1-1,1,1,,,,,,,,,,
0.75,0.125,0.75,0.125,36,6,72,1,n2-1,1,1,,,,,,,,,,
0.875,0.125,0.875,0.125,42,6,74,1,n3-1,1,1,,,,,,,,,,
1.0,0.16666667,1.0,0.16666667,48,8,70,1,n4-1,1,1,,,,,,,,,,
1.0,1.0,1.0,1.0,48,48,63,5,n13-1,1,1,,,,,,,,,,
1.0,1.0,1.0,1.0,48,48,60,5,n12-1,1,1,1.0,2/4,viio6,Bb,I,viio6,vii,,,o
1.1666666,0.16666667,1.1666666,0.16666667,56,8,69,1,n5-1,1,1,,,,,,,,,,
1.3333334,0.16666667,1.3333334,0.16666667,64,8,72,1,n6-1,1,1,,,,,,,,,,
1.5,0.16666667,1.5,0.16666667,72,8,70,1,n7-1,1,1,,,,,,,,,,
1.6666666,0.16666667,1.6666666,0.16666667,80,8,69,1,n8-1,1,1,,,,,,,,,,
1.8333334,0.16666667,1.8333334,0.16666667,88,8,75,1,n9-1,1,1,,,,,,,,,,
2.0,0.16666667,2.0,0.16666667,96,8,72,1,n14-1,2,2,,,,,,,,,,
2.0,1.0,2.0,1.0,96,48,65,5,n23-1,2,2,,,,,,,,,,
2.0,1.0,2.0,1.0,96,48,62,5,n22-1,2,2,2.0,2/4,I6,Bb,I,I6,I,,,M
2.1666667,0.16666667,2.1666667,0.16666667,104,8,70,1,n15-1,2,2,,,,,,,,,,
2.3333333,0.16666667,2.3333333,0.16666667,112,8,74,1,n16-1,2,2,,,,,,,,,,
2.5,0.16666667,2.5,0.16666667,120,8,72,1,n17-1,2,2,,,,,,,,,,
2.6666667,0.16666667,2.6666667,0.16666667,128,8,70,1,n18-1,2,2,,,,,,,,,,
2.8333333,0.16666667,2.8333333,0.16666667,136,8,77,1,n19-1,2,2,,,,,,,,,,
3.0,0.5,3.0,0.5,144,24,74,1,n20-1,2,2,,,,,,,,,,
4.0,0.5,4.0,0.5,192,24,63,5,n40-1,3,3,,,,,,,,,,
4.0,0.5,4.0,0.5,192,24,70,1,n25-1,3,3,,,,,,,,,,
4.0,0.5,4.0,0.5,192,24,75,1,n26-1,3,3,,,,,,,,,,
4.0,0.5,4.0,0.5,192,24,79,1,n27-1,3,3,,,,,,,,,,
4.0,0.5,4.0,0.5,192,24,51,5,n39-1,3,3,0.5,2/4,IV,Bb,I,IV,IV,,,M
4.5,0.5,4.5,0.5,216,24,46,5,n41-1,3,3,1.5,2/4,I,Bb,I,I,I,,,M
4.5,0.5,4.5,0.5,216,24,58,5,n42-1,3,3,,,,,,,,,,
4.5,0.5,4.5,0.5,216,24,70,1,n28-1,3,3,,,,,,,,,,
4.5,0.5,4.5,0.5,216,24,77,1,n30-1,3,3,,,,,,,,,,
4.5,0.5,4.5,0.5,216,24,74,1,n29-1,3,3,,,,,,,,,,
5.0,0.125,5.0,0.125,240,6,77,1,n31-1,3,3,,,,,,,,,,
5.125,0.125,5.125,0.125,246,6,82,1,n32-1,3,3,,,,,,,,,,
5.25,0.125,5.25,0.125,252,6,81,1,n33-1,3,3,,,,,,,,,,
5.375,0.125,5.375,0.125,258,6,82,1,n34-1,3,3,,,,,,,,,,
5.5,0.125,5.5,0.125,264,6,86,1,n35-1,3,3,,,,,,,,,,
5.625,0.125,5.625,0.125,270,6,82,1,n36-1,3,3,,,,,,,,,,
5.75,0.125,5.75,0.125,276,6,81,1,n37-1,3,3,,,,,,,,,,
5.875,0.125,5.875,0.125,282,6,82,1,n38-1,3,3,,,,,,,,,,
6.0,0.0,6.0,0.0,288,0,77,1,n45-1,4,4,,,,,,,,,,
6.0,0.5,6.0,0.5,288,24,41,5,n51-1,4,4,0.5,2/4,V7,Bb,I,V7,V,,,Mm7
6.0,0.5,6.0,0.5,288,24,75,1,n47-1,4,4,,,,,,,,,,
6.0,0.5,6.0,0.5,288,24,53,5,n52-1,4,4,,,,,,,,,,
6.0,0.5,6.0,0.5,288,24,72,1,n46-1,4,4,,,,,,,,,,
6.0,0.0,6.0,0.0,288,0,74,1,n44-1,4,4,,,,,,,,,,
6.5,0.5,6.5,0.5,312,24,74,1,n49-1,4,4,,,,,,,,,,
6.5,0.5,6.5,0.5,312,24,70,1,n48-1,4,4,,,,,,,,,,
6.5,0.5,6.5,0.5,312,24,46,5,n53-1,4,4,2.5,2/4,I|IAC},Bb,I,I,I,IAC,},M
6.5,0.5,6.5,0.5,312,24,58,5,n54-1,4,4,,,,,,,,,,
8.0,1.0,8.0,1.0,384,48,46,5,n65-1,5,5,0.0,2/4,{,Bb,I,,,,{,
8.0,1.0,8.0,1.0,384,48,50,5,n66-1,5,5,,,,,,,,,,
8.0,0.75,8.0,0.75,384,36,58,1,n56-1,5,5,,,,,,,,,,
8.75,0.125,8.75,0.125,420,6,60,1,n57-1,5,5,,,,,,,,,,
8.875,0.125,8.875,0.125,426,6,62,1,n58-1,5,5,,,,,,,,,,
9.0,1.0,9.0,1.0,432,48,48,5,n67-1,5,5,1.0,2/4,viio6,Bb,I,viio6,vii,,,o
9.0,0.16666667,9.0,0.16666667,432,8,58,1,n59-1,5,5,,,,,,,,,,
9.0,1.0,9.0,1.0,432,48,51,5,n68-1,5,5,,,,,,,,,,
9.166667,0.16666667,9.166667,0.16666667,440,8,57,1,n60-1,5,5,,,,,,,,,,
9.333333,0.16666667,9.333333,0.16666667,448,8,60,1,n61-1,5,5,,,,,,,,,,
9.5,0.16666667,9.5,0.16666667,456,8,58,1,n62-1,5,5,,,,,,,,,,
9.666667,0.16666667,9.666667,0.16666667,464,8,57,1,n63-1,5,5,,,,,,,,,,
9.833333,0.16666667,9.833333,0.16666667,472,8,63,1,n64-1,5,5,,,,,,,,,,
10.0,0.16666667,10.0,0.16666667,480,8,60,1,n69-1,6,6,,,,,,,,,,
10.0,1.0,10.0,1.0,480,48,53,5,n78-1,6,6,,,,,,,,,,
