xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
1,1,0.0,1.0,0.0,0.5,0,2,43,5,n5-1,G.I{,3.0,3/8,{,1
1,1,0.0,2.0,0.0,1.0,0,4,67,1,n1-1,,,,,0
1,1,0.0,2.0,0.0,1.0,0,4,71,1,n2-1,,,,,0
1,1,1.0,1.0,0.5,0.5,2,2,55,5,n6-1,,,,,0
1,1,2.0,1.0,1.0,0.5,4,2,72,1,n4-1,,,,,0
1,1,2.0,1.0,1.0,0.5,4,2,69,1,n3-1,,,,,0
1,1,2.0,1.0,1.0,0.5,4,2,55,5,n7-1,,,,,0
2,2,3.0,1.0,1.5,0.5,6,2,71,1,n8-1,,,,,0
2,2,3.0,1.0,1.5,0.5,6,2,55,5,n13-1,,,,,0
2,2,3.0,1.0,1.5,0.5,6,2,74,1,n9-1,,,,,0
2,2,4.0,1.0,2.0,0.5,8,2,55,5,n14-1,,,,,0
2,2,5.0,1.0,2.5,0.5,10,2,74,1,n12-1,,,,,0
2,2,5.0,1.0,2.5,0.5,10,2,71,1,n11-1,,,,,0
2,2,5.0,1.0,2.5,0.5,10,2,55,5,n15-1,,,,,0
3,3,6.0,1.0,3.0,0.5,12,2,55,5,n20-1,I(6),,,,0
3,3,6.0,2.0,3.0,1.0,12,4,79,1,n17-1,,,,,0
3,3,6.0,2.0,3.0,1.0,12,4,76,1,n16-1,,,,,0
3,3,7.0,1.0,3.5,0.5,14,2,55,5,n21-1,,,,,0
3,3,8.0,1.0,4.0,0.5,16,2,55,5,n22-1,I(+7),,,,0
3,3,8.0,1.0,4.0,0.5,16,2,74,1,n18-1,,,,,0
3,3,8.0,1.0,4.0,0.5,16,2,78,1,n19-1,,,,,0
4,4,9.0,1.0,4.5,0.5,18,2,55,5,n28-1,I(64),,,,0
4,4,9.0,2.0,4.5,1.0,18,4,76,1,n25-1,,,,,0
4,4,9.0,0.0,4.5,0.0,18,0,78,1,n23-1,,,,,0
4,4,9.0,2.0,4.5,1.0,18,4,72,1,n24-1,,,,,0
4,4,10.0,1.0,5.0,0.5,20,2,55,5,n29-1,,,,,0
4,4,11.0,1.0,5.5,0.5,22,2,74,1,n27-1,,,,,0
4,4,11.0,1.0,5.5,0.5,22,2,71,1,n26-1,,,,,0
4,4,11.0,1.0,5.5,0.5,22,2,55,5,n30-1,I,,,,0
5,5,12.0,2.0,6.0,1.0,24,4,71,1,n32-1,,,,,0
5,5,12.0,2.0,6.0,1.0,24,4,67,1,n31-1,,,,,0
5,5,12.0,1.0,6.0,0.5,24,2,43,5,n35-1,,,,,0
5,5,13.0,1.0,6.5,0.5,26,2,55,5,n36-1,,,,,0
5,5,14.0,1.0,7.0,0.5,28,2,72,1,n34-1,,,,,0
5,5,14.0,1.0,7.0,0.5,28,2,69,1,n33-1,,,,,0
5,5,14.0,1.0,7.0,0.5,28,2,55,5,n37-1,,,,,0
6,6,15.0,1.0,7.5,0.5,30,2,55,5,n43-1,,,,,0
6,6,15.0,1.0,7.5,0.5,30,2,74,1,n39-1,,,,,0
6,6,15.0,1.0,7.5,0.5,30,2,71,1,n38-1,,,,,0
6,6,16.0,1.0,8.0,0.5,32,2,55,5,n44-1,,,,,0
6,6,17.0,1.0,8.5,0.5,34,2,74,1,n42-1,,,,,0
6,6,17.0,1.0,8.5,0.5,34,2,55,5,n45-1,,,,,0
6,6,17.0,1.0,8.5,0.5,34,2,71,1,n41-1,,,,,0
7,7,18.0,1.0,9.0,0.5,36,2,55,5,n50-1,I(64),,,,0
7,7,18.0,2.0,9.0,1.0,36,4,72,1,n46-1,,,,,0
7,7,18.0,2.0,9.0,1.0,36,4,76,1,n47-1,,,,,0
7,7,19.0,1.0,9.5,0.5,38,2,55,5,n51-1,,,,,0
7,7,20.0,1.0,10.0,0.5,40,2,55,5,n52-1,I,,,,0
7,7,20.0,1.0,10.0,0.5,40,2,71,1,n48-1,,,,,0
7,7,20.0,1.0,10.0,0.5,40,2,74,1,n49-1,,,,,0
8,8,21.0,2.0,10.5,1.0,42,4,69,1,n54-1,,,,,0
8,8,21.0,2.0,10.5,1.0,42,4,72,1,n55-1,,,,,0
8,8,21.0,0.0,10.5,0.0,42,0,74,1,n53-1,,,,,0
8,8,21.0,1.0,10.5,0.5,42,2,55,5,n58-1,I(94),,,,0
8,8,22.0,1.0,11.0,0.5,44,2,55,5,n59-1,,,,,0
8,8,23.0,1.0,11.5,0.5,46,2,71,1,n57-1,,,,,0
8,8,23.0,1.0,11.5,0.5,46,2,55,5,n60-1,I},0.5,3/8,},3
8,8,23.0,1.0,11.5,0.5,46,2,67,1,n56-1,,,,,0
9,9,24.0,3.0,12.0,1.5,48,6,47,5,n68-1,,,,,0
9,9,24.0,3.0,12.0,1.5,48,6,35,5,n67-1,I6{,1.5,3/8,{,1
9,9,24.0,0.5,12.0,0.25,48,1,62,1,n61-1,,,,,0
9,9,24.5,0.5,12.25,0.25,49,1,67,1,n62-1,,,,,0
9,9,25.0,0.5,12.5,0.25,50,1,66,1,n63-1,,,,,0
9,9,25.5,0.5,12.75,0.25,51,1,67,1,n64-1,,,,,0
9,9,26.0,0.5,13.0,0.25,52,1,71,1,n65-1,,,,,0
9,9,26.5,0.5,13.25,0.25,53,1,67,1,n66-1,,,,,0
10,10,27.0,3.0,13.5,1.5,54,6,36,5,n75-1,ii6,,,,0
10,10,27.0,3.0,13.5,1.5,54,6,48,5,n76-1,,,,,0
10,10,27.0,0.5,13.5,0.25,54,1,64,1,n69-1,,,,,0
10,10,27.5,0.5,13.75,0.25,55,1,69,1,n70-1,,,,,0
10,10,28.0,0.5,14.0,0.25,56,1,68,1,n71-1,,,,,0
10,10,28.5,0.5,14.25,0.25,57,1,69,1,n72-1,,,,,0
10,10,29.0,0.5,14.5,0.25,58,1,72,1,n73-1,,,,,0
10,10,29.5,0.5,14.75,0.25,59,1,69,1,n74-1,,,,,0
11,11,30.0,0.5,15.0,0.25,60,1,66,1,n77-1,,,,,0
11,11,30.0,3.0,15.0,1.5,60,6,50,5,n84-1,,,,,0
11,11,30.0,3.0,15.0,1.5,60,6,38,5,n83-1,iii6,,,,0
11,11,30.5,0.5,15.25,0.25,61,1,71,1,n78-1,,,,,0
11,11,31.0,0.5,15.5,0.25,62,1,70,1,n79-1,,,,,0
11,11,31.5,0.5,15.75,0.25,63,1,71,1,n80-1,,,,,0
11,11,32.0,0.5,16.0,0.25,64,1,74,1,n81-1,,,,,0
11,11,32.5,0.5,16.25,0.25,65,1,71,1,n82-1,,,,,0
12,12,33.0,3.0,16.5,1.5,66,6,40,5,n91-1,IV6,,,,0
12,12,33.0,3.0,16.5,1.5,66,6,52,5,n92-1,,,,,0
12,12,33.0,0.5,16.5,0.25,66,1,67,1,n85-1,,,,,0
12,12,33.5,0.5,16.75,0.25,67,1,72,1,n86-1,,,,,0
12,12,34.0,0.5,17.0,0.25,68,1,71,1,n87-1,,,,,0
12,12,34.5,0.5,17.25,0.25,69,1,72,1,n88-1,,,,,0
12,12,35.0,0.5,17.5,0.25,70,1,76,1,n89-1,,,,,0
12,12,35.5,0.5,17.75,0.25,71,1,72,1,n90-1,,,,,0
13,13,36.0,1.0,18.0,0.5,72,2,74,1,n93-1,,,,,0
