xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,volta,cadence,cadence_type
1,1,0.0,1.5,0.0,0.75,0,36,57,6,n10-1,A.I{,1.5,6/8,,,0
1,1,0.0,2.0,0.0,1.0,0,48,64,5,n6-1,,,,,,0
1,1,0.0,1.5,0.0,0.75,0,36,73,1,n1-1,,,,,,0
1,1,1.5,0.5,0.75,0.25,36,12,59,6,n11-1,,,,,,0
1,1,1.5,0.5,0.75,0.25,36,12,74,1,n2-1,,,,,,0
1,1,2.0,1.0,1.0,0.5,48,24,57,6,n12-1,,,,,,0
1,1,2.0,1.0,1.0,0.5,48,24,73,1,n3-1,,,,,,0
1,1,2.0,1.0,1.0,0.5,48,24,64,5,n7-1,,,,,,0
1,1,3.0,2.0,1.5,1.0,72,48,76,1,n4-1,,,,,,0
1,1,3.0,2.0,1.5,1.0,72,48,64,5,n8-1,,,,,,0
1,1,3.0,2.0,1.5,1.0,72,48,61,6,n13-1,I6,1.5,6/8,,,0
1,1,5.0,1.0,2.5,0.5,120,24,76,1,n5-1,,,,,,0
1,1,5.0,1.0,2.5,0.5,120,24,64,5,n9-1,,,,,,0
1,1,5.0,1.0,2.5,0.5,120,24,61,6,n14-1,,,,,,0
2,2,6.0,2.0,3.0,1.0,144,48,64,5,n20-1,,,,,,0
2,2,6.0,1.5,3.0,0.75,144,36,56,6,n24-1,V6,1.5,6/8,,,0
2,2,6.0,1.5,3.0,0.75,144,36,71,1,n15-1,,,,,,0
2,2,7.5,0.5,3.75,0.25,180,12,57,6,n25-1,,,,,,0
2,2,7.5,0.5,3.75,0.25,180,12,73,1,n16-1,,,,,,0
2,2,8.0,1.0,4.0,0.5,192,24,71,1,n17-1,,,,,,0
2,2,8.0,1.0,4.0,0.5,192,24,64,5,n21-1,,,,,,0
2,2,8.0,1.0,4.0,0.5,192,24,56,6,n26-1,,,,,,0
2,2,9.0,2.0,4.5,1.0,216,48,64,5,n22-1,,,,,,0
2,2,9.0,2.0,4.5,1.0,216,48,74,1,n18-1,,,,,,0
2,2,9.0,2.0,4.5,1.0,216,48,59,6,n27-1,V43,1.5,6/8,,,0
2,2,11.0,1.0,5.5,0.5,264,24,74,1,n19-1,,,,,,0
2,2,11.0,1.0,5.5,0.5,264,24,64,5,n23-1,,,,,,0
2,2,11.0,1.0,5.5,0.5,264,24,59,6,n28-1,,,,,,0
3,3,12.0,2.0,6.0,1.0,288,48,54,6,n37-1,vi7,1.5,6/8,,,0
3,3,12.0,2.0,6.0,1.0,288,48,64,5,n33-1,,,,,,0
3,3,12.0,2.0,6.0,1.0,288,48,69,1,n29-1,,,,,,0
3,3,14.0,1.0,7.0,0.5,336,24,54,6,n38-1,,,,,,0
3,3,14.0,1.0,7.0,0.5,336,24,64,5,n34-1,,,,,,0
3,3,14.0,1.0,7.0,0.5,336,24,69,1,n30-1,,,,,,0
3,3,15.0,2.0,7.5,1.0,360,48,56,6,n39-1,V6,1.5,6/8,,,0
3,3,15.0,2.0,7.5,1.0,360,48,64,5,n35-1,,,,,,0
3,3,15.0,2.0,7.5,1.0,360,48,71,1,n31-1,,,,,,0
3,3,17.0,1.0,8.5,0.5,408,24,56,6,n40-1,,,,,,0
3,3,17.0,1.0,8.5,0.5,408,24,64,5,n36-1,,,,,,0
3,3,17.0,1.0,8.5,0.5,408,24,71,1,n32-1,,,,,,0
4,4,18.0,2.0,9.0,1.0,432,48,73,1,n41-1,,,,,,0
4,4,18.0,2.0,9.0,1.0,432,48,64,5,n49-1,,,,,,0
4,4,18.0,2.0,9.0,1.0,432,48,57,6,n52-1,I,1.0,6/8,,,0
4,4,20.0,0.5,10.0,0.25,480,12,76,1,n42-1,,,,,,0
4,4,20.0,1.0,10.0,0.5,480,24,71,2,n48-1,,,,,,0
4,4,20.0,1.0,10.0,0.5,480,24,50,5,n50-1,ii6,0.5,6/8,,,0
4,4,20.5,0.5,10.25,0.25,492,12,74,1,n43-1,,,,,,0
4,4,21.0,2.0,10.5,1.0,504,48,73,1,n45-1,,,,,,0
4,4,21.0,2.0,10.5,1.0,504,48,69,1,n44-1,,,,,,0
4,4,21.0,3.0,10.5,1.5,504,72,52,5,n51-1,V(64)},1.0,6/8,,,0
4,4,23.0,1.0,11.5,0.5,552,24,68,1,n46-1,V|HC,0.5,6/8,,HC,2
4,4,23.0,1.0,11.5,0.5,552,24,71,1,n47-1,,,,,,0
5,5,24.0,1.5,12.0,0.75,576,36,57,6,n62-1,I{,1.5,6/8,,,0
5,5,24.0,2.0,12.0,1.0,576,48,64,5,n58-1,,,,,,0
5,5,24.0,1.5,12.0,0.75,576,36,73,1,n53-1,,,,,,0
5,5,25.5,0.5,12.75,0.25,612,12,59,6,n63-1,,,,,,0
5,5,25.5,0.5,12.75,0.25,612,12,74,1,n54-1,,,,,,0
5,5,26.0,1.0,13.0,0.5,624,24,57,6,n64-1,,,,,,0
5,5,26.0,1.0,13.0,0.5,624,24,64,5,n59-1,,,,,,0
5,5,26.0,1.0,13.0,0.5,624,24,73,1,n55-1,,,,,,0
5,5,27.0,2.0,13.5,1.0,648,48,61,6,n65-1,I6,1.5,6/8,,,0
5,5,27.0,2.0,13.5,1.0,648,48,64,5,n60-1,,,,,,0
5,5,27.0,2.0,13.5,1.0,648,48,76,1,n56-1,,,,,,0
5,5,29.0,1.0,14.5,0.5,696,24,64,5,n61-1,,,,,,0
5,5,29.0,1.0,14.5,0.5,696,24,76,1,n57-1,,,,,,0
5,5,29.0,1.0,14.5,0.5,696,24,61,6,n66-1,,,,,,0
6,6,30.0,1.5,15.0,0.75,720,36,71,1,n67-1,,,,,,0
6,6,30.0,2.0,15.0,1.0,720,48,64,5,n72-1,,,,,,0
6,6,30.0,1.5,15.0,0.75,720,36,56,6,n76-1,V6,1.5,6/8,,,0
6,6,31.5,0.5,15.75,0.25,756,12,73,1,n68-1,,,,,,0
6,6,31.5,0.5,15.75,0.25,756,12,57,6,n77-1,,,,,,0
6,6,32.0,1.0,16.0,0.5,768,24,71,1,n69-1,,,,,,0
6,6,32.0,1.0,16.0,0.5,768,24,56,6,n78-1,,,,,,0
6,6,32.0,1.0,16.0,0.5,768,24,64,5,n73-1,,,,,,0
6,6,33.0,2.0,16.5,1.0,792,48,64,5,n74-1,,,,,,0
6,6,33.0,2.0,16.5,1.0,792,48,74,1,n70-1,,,,,,0
6,6,33.0,2.0,16.5,1.0,792,48,59,6,n79-1,V43,1.5,6/8,,,0
6,6,35.0,1.0,17.5,0.5,840,24,74,1,n71-1,,,,,,0
6,6,35.0,1.0,17.5,0.5,840,24,64,5,n75-1,,,,,,0
6,6,35.0,1.0,17.5,0.5,840,24,59,6,n80-1,,,,,,0
7,7,36.0,2.0,18.0,1.0,864,48,54,6,n91-1,vi7,1.0,6/8,,,0
7,7,36.0,2.0,18.0,1.0,864,48,69,1,n81-1,,,,,,0
7,7,36.0,2.0,18.0,1.0,864,48,64,5,n87-1,,,,,,0
7,7,38.0,1.0,19.0,0.5,912,24,64,5,n88-1,,,,,,0
7,7,38.0,1.0,19.0,0.5,912,24,56,6,n92-1,V6,0.5,6/8,,,0
7,7,38.0,1.0,19.0,0.5,912,24,71,1,n82-1,,,,,,0
7,7,39.0,2.0,19.5,1.0,936,48,64,5,n89-1,,,,,,0
7,7,39.0,2.0,19.5,1.0,936,48,57,6,n93-1,I,1.0,6/8,,,0
7,7,39.0,2.0,19.5,1.0,936,48,73,1,n83-1,,,,,,0
7,7,41.0,1.0,20.5,0.5,984,24,74,1,n86-1,,,,,,0
7,7,41.0,1.0,20.5,0.5,984,24,71,1,n85-1,,,,,,0
7,7,41.0,1.0,20.5,0.5,984,24,66,1,n84-1,,,,,,0
7,7,41.0,1.0,20.5,0.5,984,24,50,5,n90-1,ii6,0.5,6/8,,,0
8,8,42.0,2.0,21.0,1.0,1008,48,52,5,n104-1,V(64),1.0,6/8,,,0
8,8,42.0,2.0,21.0,1.0,1008,48,73,1,n96-1,,,,,,0
8,8,42.0,2.0,21.0,1.0,1008,48,64,1,n94-1,,,,,,0
8,8,42.0,2.0,21.0,1.0,1008,48,69,1,n95-1,,,,,,0
8,8,44.0,1.0,22.0,0.5,1056,24,62,1,n97-1,,,,,,0
8,8,44.0,1.0,22.0,0.5,1056,24,68,1,n98-1,,,,,,0
8,8,44.0,1.0,22.0,0.5,1056,24,40,5,n105-1,V7,0.5,6/8,,,0
8,8,44.0,1.0,22.0,0.5,1056,24,71,1,n99-1,,,,,,0
8,8,45.0,2.0,22.5,1.0,1080,48,45,5,n106-1,I|PAC},3.0,6/8,,PAC,1
8,8,45.0,2.0,22.5,1.0,1080,48,61,1,n100-1,,,,,,0
8,8,45.0,2.0,22.5,1.0,1080,48,64,1,n101-1,,,,,,0
8,8,45.0,2.0,22.5,1.0,1080,48,69,1,n102-1,,,,,,0
1,1,48.0,2.0,24.0,1.0,1152,48,64,5,n6-2,,,,,,0
1,1,48.0,1.5,24.0,0.75,1152,36,57,6,n10-2,A.I{,1.5,6/8,,,0
1,1,48.0,1.5,24.0,0.75,1152,36,73,1,n1-2,,,,,,0
1,1,49.5,0.5,24.75,0.25,1188,12,59,6,n11-2,,,,,,0
1,1,49.5,0.5,24.75,0.25,1188,12,74,1,n2-2,,,,,,0
1,1,50.0,1.0,25.0,0.5,1200,24,64,5,n7-2,,,,,,0
1,1,50.0,1.0,25.0,0.5,1200,24,57,6,n12-2,,,,,,0
1,1,50.0,1.0,25.0,0.5,1200,24,73,1,n3-2,,,,,,0
1,1,51.0,2.0,25.5,1.0,1224,48,76,1,n4-2,,,,,,0
1,1,51.0,2.0,25.5,1.0,1224,48,64,5,n8-2,,,,,,0
1,1,51.0,2.0,25.5,1.0,1224,48,61,6,n13-2,I6,1.5,6/8,,,0
1,1,53.0,1.0,26.5,0.5,1272,24,61,6,n14-2,,,,,,0
1,1,53.0,1.0,26.5,0.5,1272,24,76,1,n5-2,,,,,,0
1,1,53.0,1.0,26.5,0.5,1272,24,64,5,n9-2,,,,,,0
2,2,54.0,1.5,27.0,0.75,1296,36,71,1,n15-2,,,,,,0
2,2,54.0,2.0,27.0,1.0,1296,48,64,5,n20-2,,,,,,0
2,2,54.0,1.5,27.0,0.75,1296,36,56,6,n24-2,V6,1.5,6/8,,,0
2,2,55.5,0.5,27.75,0.25,1332,12,57,6,n25-2,,,,,,0
2,2,55.5,0.5,27.75,0.25,1332,12,73,1,n16-2,,,,,,0
2,2,56.0,1.0,28.0,0.5,1344,24,56,6,n26-2,,,,,,0
2,2,56.0,1.0,28.0,0.5,1344,24,64,5,n21-2,,,,,,0
2,2,56.0,1.0,28.0,0.5,1344,24,71,1,n17-2,,,,,,0
2,2,57.0,2.0,28.5,1.0,1368,48,64,5,n22-2,,,,,,0
2,2,57.0,2.0,28.5,1.0,1368,48,74,1,n18-2,,,,,,0
2,2,57.0,2.0,28.5,1.0,1368,48,59,6,n27-2,V43,1.5,6/8,,,0
2,2,59.0,1.0,29.5,0.5,1416,24,59,6,n28-2,,,,,,0
2,2,59.0,1.0,29.5,0.5,1416,24,64,5,n23-2,,,,,,0
2,2,59.0,1.0,29.5,0.5,1416,24,74,1,n19-2,,,,,,0
3,3,60.0,2.0,30.0,1.0,1440,48,54,6,n37-2,vi7,1.5,6/8,,,0
3,3,60.0,2.0,30.0,1.0,1440,48,64,5,n33-2,,,,,,0
3,3,60.0,2.0,30.0,1.0,1440,48,69,1,n29-2,,,,,,0
3,3,62.0,1.0,31.0,0.5,1488,24,64,5,n34-2,,,,,,0
3,3,62.0,1.0,31.0,0.5,1488,24,54,6,n38-2,,,,,,0
3,3,62.0,1.0,31.0,0.5,1488,24,69,1,n30-2,,,,,,0
3,3,63.0,2.0,31.5,1.0,1512,48,71,1,n31-2,,,,,,0
3,3,63.0,2.0,31.5,1.0,1512,48,56,6,n39-2,V6,1.5,6/8,,,0
3,3,63.0,2.0,31.5,1.0,1512,48,64,5,n35-2,,,,,,0
3,3,65.0,1.0,32.5,0.5,1560,24,64,5,n36-2,,,,,,0
3,3,65.0,1.0,32.5,0.5,1560,24,56,6,n40-2,,,,,,0
3,3,65.0,1.0,32.5,0.5,1560,24,71,1,n32-2,,,,,,0
4,4,66.0,2.0,33.0,1.0,1584,48,73,1,n41-2,,,,,,0
4,4,66.0,2.0,33.0,1.0,1584,48,64,5,n49-2,,,,,,0
