xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,globalkey,localkey,chord,numeral,chord_type,chord_label
1,1,0.0,0.25,0.0,0.25,0,12,58,5,n12-1,Bb.I{,2.0,4/4,Bb,I,I,I,M,1
1,1,0.0,1.0,0.0,1.0,0,48,70,1,n1-1,,,,,,,,,0
1,1,0.25,0.25,0.25,0.25,12,12,65,5,n13-1,,,,,,,,,0
1,1,0.5,0.25,0.5,0.25,24,12,62,5,n14-1,,,,,,,,,0
1,1,0.75,0.25,0.75,0.25,36,12,65,5,n15-1,,,,,,,,,0
1,1,1.0,0.25,1.0,0.25,48,12,58,5,n16-1,,,,,,,,,0
1,1,1.0,0.75,1.0,0.75,48,36,74,1,n2-1,,,,,,,,,0
1,1,1.25,0.25,1.25,0.25,60,12,65,5,n17-1,,,,,,,,,0
1,1,1.5,0.25,1.5,0.25,72,12,62,5,n18-1,,,,,,,,,0
1,1,1.75,0.25,1.75,0.25,84,12,65,5,n19-1,,,,,,,,,0
1,1,1.75,0.0,1.75,0.0,84,0,72,1,n5-1,,,,,,,,,0
1,1,1.75,0.0,1.75,0.0,84,0,74,1,n4-1,,,,,,,,,0
1,1,1.75,0.0,1.75,0.0,84,0,74,1,n6-1,,,,,,,,,0
1,1,1.75,0.0,1.75,0.0,84,0,75,1,n3-1,,,,,,,,,0
1,1,1.75,0.25,1.75,0.25,84,12,75,1,n7-1,,,,,,,,,0
1,1,2.0,0.25,2.0,0.25,96,12,57,5,n20-1,V6(#14),0.75,4/4,Bb,I,V6(#14),V,M,1
1,1,2.0,0.75,2.0,0.75,96,36,76,1,n8-1,,,,,,,,,0
1,1,2.25,0.25,2.25,0.25,108,12,65,5,n21-1,,,,,,,,,0
1,1,2.5,0.25,2.5,0.25,120,12,60,5,n22-1,,,,,,,,,0
1,1,2.75,0.25,2.75,0.25,132,12,65,5,n23-1,V6,1.25,4/4,Bb,I,V6,V,M,1
1,1,2.75,0.25,2.75,0.25,132,12,77,1,n9-1,,,,,,,,,0
1,1,3.0,0.25,3.0,0.25,144,12,57,5,n24-1,,,,,,,,,0
1,1,3.0,0.5,3.0,0.5,144,24,72,1,n10-1,,,,,,,,,0
1,1,3.25,0.25,3.25,0.25,156,12,65,5,n25-1,,,,,,,,,0
1,1,3.5,0.25,3.5,0.25,168,12,60,5,n26-1,,,,,,,,,0
1,1,3.75,0.25,3.75,0.25,180,12,65,5,n27-1,,,,,,,,,0
2,2,4.0,0.75,4.0,0.75,192,36,75,1,n28-1,,,,,,,,,0
2,2,4.0,0.25,4.0,0.25,192,12,55,5,n44-1,IV6,1.0,4/4,Bb,I,IV6,IV,M,1
2,2,4.25,0.25,4.25,0.25,204,12,63,5,n45-1,,,,,,,,,0
2,2,4.5,0.25,4.5,0.25,216,12,58,5,n46-1,,,,,,,,,0
2,2,4.75,0.25,4.75,0.25,228,12,63,5,n47-1,,,,,,,,,0
2,2,4.75,0.0,4.75,0.0,228,0,74,1,n31-1,,,,,,,,,0
2,2,4.75,0.0,4.75,0.0,228,0,75,1,n30-1,,,,,,,,,0
2,2,4.75,0.0,4.75,0.0,228,0,75,1,n32-1,,,,,,,,,0
2,2,4.75,0.0,4.75,0.0,228,0,77,1,n29-1,,,,,,,,,0
2,2,4.75,0.25,4.75,0.25,228,12,77,1,n33-1,,,,,,,,,0
2,2,5.0,0.75,5.0,0.75,240,36,79,1,n34-1,,,,,,,,,0
2,2,5.0,0.25,5.0,0.25,240,12,51,5,n48-1,IV,1.0,4/4,Bb,I,IV,IV,M,1
2,2,5.25,0.25,5.25,0.25,252,12,58,5,n49-1,,,,,,,,,0
2,2,5.5,0.25,5.5,0.25,264,12,55,5,n50-1,,,,,,,,,0
2,2,5.75,0.0,5.75,0.0,276,0,81,1,n35-1,,,,,,,,,0
2,2,5.75,0.0,5.75,0.0,276,0,79,1,n38-1,,,,,,,,,0
2,2,5.75,0.25,5.75,0.25,276,12,81,1,n39-1,,,,,,,,,0
2,2,5.75,0.0,5.75,0.0,276,0,77,1,n37-1,,,,,,,,,0
2,2,5.75,0.25,5.75,0.25,276,12,58,5,n51-1,,,,,,,,,0
2,2,5.75,0.0,5.75,0.0,276,0,79,1,n36-1,,,,,,,,,0
2,2,6.0,0.25,6.0,0.25,288,12,50,5,n52-1,I6(14),0.75,4/4,Bb,I,I6(14),I,M,1
2,2,6.0,0.75,6.0,0.75,288,36,81,1,n40-1,,,,,,,,,0
2,2,6.25,0.25,6.25,0.25,300,12,58,5,n53-1,,,,,,,,,0
2,2,6.5,0.25,6.5,0.25,312,12,53,5,n54-1,,,,,,,,,0
2,2,6.75,0.25,6.75,0.25,324,12,58,5,n55-1,I6,1.25,4/4,Bb,I,I6,I,M,1
2,2,6.75,0.25,6.75,0.25,324,12,82,1,n41-1,,,,,,,,,0
2,2,7.0,0.5,7.0,0.5,336,24,77,1,n42-1,,,,,,,,,0
2,2,7.0,0.25,7.0,0.25,336,12,50,5,n56-1,,,,,,,,,0
2,2,7.25,0.25,7.25,0.25,348,12,58,5,n57-1,,,,,,,,,0
2,2,7.5,0.25,7.5,0.25,360,12,53,5,n58-1,,,,,,,,,0
2,2,7.75,0.25,7.75,0.25,372,12,58,5,n59-1,,,,,,,,,0
3,3,8.0,0.25,8.0,0.25,384,12,51,5,n75-1,IV,0.5,4/4,Bb,I,IV,IV,M,1
3,3,8.0,0.75,8.0,0.75,384,36,79,1,n60-1,,,,,,,,,0
3,3,8.25,0.25,8.25,0.25,396,12,55,5,n76-1,,,,,,,,,0
3,3,8.5,0.25,8.5,0.25,408,12,51,5,n77-1,ii6(#7),0.5,4/4,Bb,I,ii6(#7),ii,m,1
3,3,8.75,0.25,8.75,0.25,420,12,59,5,n78-1,,,,,,,,,0
3,3,8.75,0.125,8.75,0.125,420,6,80,1,n61-1,,,,,,,,,0
3,3,8.875,0.125,8.875,0.125,426,6,79,1,n62-1,,,,,,,,,0
3,3,9.0,0.25,9.0,0.25,432,12,51,5,n79-1,ii6,1.0,4/4,Bb,I,ii6,ii,m,1
3,3,9.0,0.25,9.0,0.25,432,12,77,1,n63-1,,,,,,,,,0
3,3,9.25,0.25,9.25,0.25,444,12,60,5,n80-1,,,,,,,,,0
3,3,9.25,0.25,9.25,0.25,444,12,75,1,n64-1,,,,,,,,,0
3,3,9.5,0.25,9.5,0.25,456,12,51,5,n81-1,,,,,,,,,0
3,3,9.5,0.25,9.5,0.25,456,12,74,1,n65-1,,,,,,,,,0
3,3,9.75,0.25,9.75,0.25,468,12,63,5,n82-1,,,,,,,,,0
3,3,9.75,0.25,9.75,0.25,468,12,72,1,n66-1,,,,,,,,,0
3,3,10.0,0.25,10.0,0.25,480,12,76,1,n67-1,,,,,,,,,0
3,3,10.0,0.25,10.0,0.25,480,12,50,5,n83-1,iii,1.0,4/4,Bb,I,iii,iii,m,1
3,3,10.25,0.5,10.25,0.5,492,24,77,1,n68-1,,,,,,,,,0
3,3,10.25,0.25,10.25,0.25,492,12,53,5,n84-1,,,,,,,,,0
3,3,10.5,0.25,10.5,0.25,504,12,50,5,n85-1,,,,,,,,,0
3,3,10.75,0.25,10.75,0.25,516,12,57,5,n86-1,,,,,,,,,0
3,3,10.75,0.125,10.75,0.125,516,6,79,1,n69-1,,,,,,,,,0
3,3,10.875,0.125,10.875,0.125,522,6,77,1,n70-1,,,,,,,,,0
3,3,11.0,0.25,11.0,0.25,528,12,50,5,n87-1,I6,1.0,4/4,Bb,I,I6,I,M,1
3,3,11.0,0.25,11.0,0.25,528,12,75,1,n71-1,,,,,,,,,0
3,3,11.25,0.25,11.25,0.25,540,12,58,5,n88-1,,,,,,,,,0
3,3,11.25,0.25,11.25,0.25,540,12,74,1,n72-1,,,,,,,,,0
3,3,11.5,0.25,11.5,0.25,552,12,50,5,n89-1,,,,,,,,,0
3,3,11.5,0.25,11.5,0.25,552,12,72,1,n73-1,,,,,,,,,0
3,3,11.75,0.25,11.75,0.25,564,12,62,5,n90-1,,,,,,,,,0
3,3,11.75,0.25,11.75,0.25,564,12,70,1,n74-1,,,,,,,,,0
