onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-1.0,0.5,-1.0,0.5,0,4,77,1,n2-1,0,0,3.0,4/4,Bb.I{,Bb,I,I,,I,,{,M
-1.0,0.0,-1.0,0.0,0,0,79,1,n1-1,0,0,,,,,,,,,,,
-0.5,0.25,-0.5,0.25,4,2,75,1,n3-1,0,0,,,,,,,,,,,
-0.25,0.25,-0.25,0.25,6,2,74,1,n4-1,0,0,,,,,,,,,,,
0.0,0.5,0.0,0.5,8,4,72,1,n6-1,1,1,,,,,,,,,,,
0.5,0.5,0.5,0.5,12,4,70,1,n7-1,1,1,,,,,,,,,,,
0.5,0.5,0.5,0.5,12,4,58,5,n13-1,1,1,,,,,,,,,,,
1.0,1.5,1.0,1.5,16,12,70,1,n8-1,1,1,,,,,,,,,,,
1.0,0.5,1.0,0.5,16,4,62,5,n14-1,1,1,,,,,,,,,,,
1.5,0.5,1.5,0.5,20,4,65,5,n15-1,1,1,,,,,,,,,,,
2.0,0.5,2.0,0.5,24,4,62,5,n16-1,1,1,2.0,4/4,vi6,Bb,I,vi6,,vi,,,m
2.5,0.5,2.5,0.5,28,4,74,1,n9-1,1,1,,,,,,,,,,,
2.5,0.5,2.5,0.5,28,4,58,5,n17-1,1,1,,,,,,,,,,,
3.0,0.5,3.0,0.5,32,4,62,5,n18-1,1,1,,,,,,,,,,,
3.0,0.5,3.0,0.5,32,4,79,1,n10-1,1,1,,,,,,,,,,,
3.5,0.5,3.5,0.5,36,4,74,1,n11-1,1,1,,,,,,,,,,,
3.5,0.5,3.5,0.5,36,4,67,5,n19-1,1,1,,,,,,,,,,,
4.0,1.0,4.0,1.0,40,8,77,1,n20-1,2,2,1.0,4/4,ii(4),Bb,I,ii(4),,ii,,,m
4.5,0.5,4.5,0.5,44,4,60,5,n29-1,2,2,,,,,,,,,,,
5.0,1.5,5.0,1.5,48,12,75,1,n21-1,2,2,,,,,,,,,,,
5.0,0.5,5.0,0.5,48,4,63,5,n30-1,2,2,3.0,4/4,ii,Bb,I,ii,,ii,,,m
5.5,0.5,5.5,0.5,52,4,67,5,n31-1,2,2,,,,,,,,,,,
6.0,0.5,6.0,0.5,56,4,63,5,n32-1,2,2,,,,,,,,,,,
6.5,0.5,6.5,0.5,60,4,60,5,n33-1,2,2,,,,,,,,,,,
6.5,0.25,6.5,0.25,60,2,77,1,n22-1,2,2,,,,,,,,,,,
6.75,0.25,6.75,0.25,62,2,79,1,n23-1,2,2,,,,,,,,,,,
7.0,0.25,7.0,0.25,64,2,77,1,n24-1,2,2,,,,,,,,,,,
7.0,0.5,7.0,0.5,64,4,63,5,n34-1,2,2,,,,,,,,,,,
7.25,0.25,7.25,0.25,66,2,75,1,n25-1,2,2,,,,,,,,,,,
7.5,0.5,7.5,0.5,68,4,67,5,n35-1,2,2,,,,,,,,,,,
7.5,0.25,7.5,0.25,68,2,74,1,n26-1,2,2,,,,,,,,,,,
7.75,0.25,7.75,0.25,70,2,72,1,n27-1,2,2,,,,,,,,,,,
8.0,1.0,8.0,1.0,72,8,70,1,n36-1,3,3,1.0,4/4,V(4),Bb,I,V(4),,V,,,M
8.5,0.5,8.5,0.5,76,4,53,5,n42-1,3,3,,,,,,,,,,,
9.0,0.5,9.0,0.5,80,4,60,5,n43-1,3,3,3.0,4/4,V7,Bb,I,V7,,V,,,Mm7
9.0,1.5,9.0,1.5,80,12,69,1,n37-1,3,3,,,,,,,,,,,
9.5,0.5,9.5,0.5,84,4,63,5,n44-1,3,3,,,,,,,,,,,
10.0,0.5,10.0,0.5,88,4,60,5,n45-1,3,3,,,,,,,,,,,
10.5,0.5,10.5,0.5,92,4,69,1,n38-1,3,3,,,,,,,,,,,
10.5,0.5,10.5,0.5,92,4,53,5,n46-1,3,3,,,,,,,,,,,
11.0,0.5,11.0,0.5,96,4,70,1,n39-1,3,3,,,,,,,,,,,
