xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,volta,phraseend,phrase_type
1,1,0.0,2.0,0.0,2.0,0,48,51,5,n11-1,Eb.I{,4.0,3/4,,{,1
1,1,0.0,1.0,0.0,1.0,0,24,67,1,n1-1,,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,70,1,n2-1,,,,,,0
1,1,1.0,0.5,1.0,0.5,24,12,65,1,n3-1,,,,,,0
1,1,1.0,0.5,1.0,0.5,24,12,68,1,n4-1,,,,,,0
1,1,1.5,0.5,1.5,0.5,36,12,67,1,n6-1,,,,,,0
1,1,1.5,0.5,1.5,0.5,36,12,63,1,n5-1,,,,,,0
1,1,2.0,0.5,2.0,0.5,48,12,68,1,n7-1,,,,,,0
1,1,2.0,0.5,2.0,0.5,48,12,72,1,n8-1,,,,,,0
1,1,2.5,0.5,2.5,0.5,60,12,70,1,n10-1,,,,,,0
1,1,2.5,0.5,2.5,0.5,60,12,67,1,n9-1,,,,,,0
2,2,3.0,1.0,3.0,1.0,72,24,70,1,n14-1,,,,,,0
2,2,3.0,1.0,3.0,1.0,72,24,67,1,n13-1,,,,,,0
2,2,3.0,1.0,3.0,1.0,72,24,51,5,n19-1,,,,,,0
2,2,4.0,1.0,4.0,1.0,96,24,65,1,n15-1,,,,,,0
2,2,4.0,1.0,4.0,1.0,96,24,53,5,n20-1,viio6,,,,,0
2,2,4.0,1.0,4.0,1.0,96,24,68,1,n16-1,,,,,,0
2,2,5.0,1.0,5.0,1.0,120,24,67,1,n18-1,,,,,,0
2,2,5.0,1.0,5.0,1.0,120,24,63,1,n17-1,,,,,,0
2,2,5.0,1.0,5.0,1.0,120,24,55,5,n21-1,I6,,,,,0
3,3,6.0,1.0,6.0,1.0,144,24,64,1,n22-1,,,,,,0
3,3,6.0,1.0,6.0,1.0,144,24,61,5,n30-1,,,,,,0
3,3,6.0,1.0,6.0,1.0,144,24,58,5,n29-1,#viio43/ii,,,,,0
3,3,7.0,1.0,7.0,1.0,168,24,60,5,n32-1,,,,,,0
3,3,7.0,0.5,7.0,0.5,168,12,65,1,n23-1,,,,,,0
3,3,7.0,1.0,7.0,1.0,168,24,56,5,n31-1,ii6,,,,,0
3,3,7.5,0.5,7.5,0.5,180,12,72,1,n24-1,,,,,,0
3,3,8.0,0.5,8.0,0.5,192,12,68,1,n26-1,,,,,,0
3,3,8.0,0.0,8.0,0.0,192,0,70,1,n25-1,,,,,,0
3,3,8.5,0.25,8.5,0.25,204,6,67,1,n27-1,,,,,,0
3,3,8.75,0.25,8.75,0.25,210,6,65,1,n28-1,,,,,,0
4,4,9.0,1.0,9.0,1.0,216,24,63,1,n35-1,,,,,,0
4,4,9.0,0.25,9.0,0.25,216,6,45,5,n52-1,V(64)},1.0,3/4,,},3
4,4,9.0,1.0,9.0,1.0,216,24,55,1,n34-1,,,,,,0
4,4,9.25,0.25,9.25,0.25,222,6,46,5,n53-1,,,,,,0
4,4,9.5,0.25,9.5,0.25,228,6,48,5,n54-1,,,,,,0
4,4,9.75,0.25,9.75,0.25,234,6,46,5,n55-1,,,,,,0
4,4,10.0,0.25,10.0,0.25,240,6,53,1,n36-1,,,,,,0
4,4,10.0,1.0,10.0,1.0,240,24,46,5,n56-1,V|HC,,,,,0
