onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,alt_label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-0.5,0.5,-1.0,1.0,0,12,72,1,n1-1,0,0,3.0,2/2,F.I{,,F,I,I,,I,,{,M
0.0,0.25,0.0,0.5,12,6,70,1,n3-1,1,1,,,,,,,,,,,,
0.25,0.25,0.5,0.5,18,6,69,1,n4-1,1,1,,,,,,,,,,,,
0.5,0.25,1.0,0.5,24,6,67,1,n5-1,1,1,,,,,,,,,,,,
0.75,0.25,1.5,0.5,30,6,65,1,n6-1,1,1,,,,,,,,,,,,
1.0,0.25,2.0,0.5,36,6,69,1,n7-1,1,1,2.0,2/2,viio,,F,I,viio,,vii,,,o
1.25,0.25,2.5,0.5,42,6,67,1,n8-1,1,1,,,,,,,,,,,,
1.5,0.25,3.0,0.5,48,6,70,1,n9-1,1,1,,,,,,,,,,,,
1.75,0.25,3.5,0.5,54,6,64,1,n10-1,1,1,,,,,,,,,,,,
2.0,0.5,4.0,1.0,60,12,65,1,n12-1,2,2,6.0,2/2,I,,F,I,I,,I,,,M
2.5,0.5,5.0,1.0,72,12,60,1,n13-1,2,2,,,,,,,,,,,,
3.0,1.0,6.0,2.0,84,24,72,1,n14-1,2,2,,,,,,,,,,,,
4.0,0.25,8.0,0.5,108,6,70,1,n16-1,3,3,,,,,,,,,,,,
4.25,0.25,8.5,0.5,114,6,69,1,n17-1,3,3,,,,,,,,,,,,
4.5,0.25,9.0,0.5,120,6,67,1,n18-1,3,3,,,,,,,,,,,,
4.75,0.25,9.5,0.5,126,6,65,1,n19-1,3,3,,,,,,,,,,,,
5.0,0.25,10.0,0.5,132,6,69,1,n20-1,3,3,2.0,2/2,viio,,F,I,viio,,vii,,,o
5.25,0.25,10.5,0.5,138,6,67,1,n21-1,3,3,,,,,,,,,,,,
5.5,0.25,11.0,0.5,144,6,70,1,n22-1,3,3,,,,,,,,,,,,
5.75,0.25,11.5,0.5,150,6,64,1,n23-1,3,3,,,,,,,,,,,,
6.0,2.0,12.0,4.0,156,48,65,1,n25-1,4,4,,,,,,,,,,,,
6.0,0.25,12.0,0.5,156,6,57,5,n26-1,4,4,,,,,,,,,,,,
