onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,volta,label,alt_label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
0.0,0.5,0.0,1.0,0,24,69,5,n3-1,1,1,2.0,2/2,,F.I6{,,F,I,I6,,I,,{,M
0.0,1.0,0.0,2.0,0,48,77,1,n1-1,1,1,,,,,,,,,,,,,
0.5,0.5,1.0,1.0,24,24,72,5,n4-1,1,1,,,,,,,,,,,,,
1.0,0.5,2.0,1.0,48,24,65,5,n5-1,1,1,2.0,2/2,,I,,F,I,I,,I,,,M
1.0,1.0,2.0,2.0,48,48,81,1,n2-1,1,1,,,,,,,,,,,,,
1.5,0.5,3.0,1.0,72,24,72,5,n6-1,1,1,,,,,,,,,,,,,
2.0,0.5,4.0,1.0,96,24,70,5,n13-1,2,2,2.0,2/2,,V2,,F,I,V2,,V,,,Mm7
2.0,0.25,4.0,0.5,96,12,81,1,n7-1,2,2,,,,,,,,,,,,,
2.25,0.25,4.5,0.5,108,12,79,1,n8-1,2,2,,,,,,,,,,,,,
2.5,0.25,5.0,0.5,120,12,79,1,n9-1,2,2,,,,,,,,,,,,,
2.5,0.5,5.0,1.0,120,24,72,5,n14-1,2,2,,,,,,,,,,,,,
2.75,0.25,5.5,0.5,132,12,76,1,n10-1,2,2,,,,,,,,,,,,,
3.0,0.5,6.0,1.0,144,24,69,5,n15-1,2,2,2.0,2/2,,I6,,F,I,I6,,I,,,M
3.0,0.75,6.0,1.5,144,36,77,1,n11-1,2,2,,,,,,,,,,,,,
3.5,0.5,7.0,1.0,168,24,72,5,n16-1,2,2,,,,,,,,,,,,,
3.75,0.25,7.5,0.5,180,12,81,1,n12-1,2,2,,,,,,,,,,,,,
4.0,0.5,8.0,1.0,192,24,70,5,n23-1,3,3,2.0,2/2,,V2,,F,I,V2,,V,,,Mm7
4.0,0.25,8.0,0.5,192,12,81,1,n17-1,3,3,,,,,,,,,,,,,
4.25,0.25,8.5,0.5,204,12,79,1,n18-1,3,3,,,,,,,,,,,,,
4.5,0.25,9.0,0.5,216,12,79,1,n19-1,3,3,,,,,,,,,,,,,
4.5,0.5,9.0,1.0,216,24,72,5,n24-1,3,3,,,,,,,,,,,,,
4.75,0.25,9.5,0.5,228,12,76,1,n20-1,3,3,,,,,,,,,,,,,
5.0,0.5,10.0,1.0,240,24,69,5,n25-1,3,3,2.0,2/2,,I6,,F,I,I6,,I,,,M
5.0,0.75,10.0,1.5,240,36,77,1,n21-1,3,3,,,,,,,,,,,,,
5.5,0.5,11.0,1.0,264,24,72,5,n26-1,3,3,,,,,,,,,,,,,
5.75,0.25,11.5,0.5,276,12,81,1,n22-1,3,3,,,,,,,,,,,,,
6.0,0.5,12.0,1.0,288,24,67,6,n36-1,4,4,1.0,2/2,,V43,,F,I,V43,,V,,,Mm7
6.0,2.0,12.0,4.0,288,96,72,5,n35-1,4,4,,,,,,,,,,,,,
6.0,0.25,12.0,0.5,288,12,84,1,n27-1,4,4,,,,,,,,,,,,,
6.25,0.25,12.5,0.5,300,12,82,1,n28-1,4,4,,,,,,,,,,,,,
6.5,0.25,13.0,0.5,312,12,82,1,n29-1,4,4,,,,,,,,,,,,,
